importKey,postedAt,kind,amount,description,notes,accountImportKey,direction,categoryImportKey,counterparty,sourceAccountImportKey,destinationAccountImportKey
tx-2025-11-24-hotel-2,2025-11-24T00:00:00.000Z,EXPENSE,42.12,Hotel,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holyday,,,
tx-2025-11-24-snack,2025-11-24T00:00:00.000Z,EXPENSE,0.9,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-11-25-giftlavi,2025-11-25T00:00:00.000Z,EXPENSE,63.0,GiftLavi,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-lavinia,,,
tx-2025-11-25-sales,2025-11-25T00:00:00.000Z,EXPENSE,107.05,Sales,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-clothing-onsale,,,
tx-2025-11-26-snack,2025-11-26T00:00:00.000Z,EXPENSE,0.45,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-11-27-car-rental,2025-11-27T00:00:00.000Z,EXPENSE,55.2,Car Rental,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holyday,,,
tx-2025-11-28-consum,2025-11-28T00:00:00.000Z,EXPENSE,5.83,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-11-28-dinner,2025-11-28T00:00:00.000Z,EXPENSE,11.2,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-11-28-fine,2025-11-28T00:00:00.000Z,EXPENSE,100.0,Fine,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-fines,,,
tx-2025-11-28-uber,2025-11-28T00:00:00.000Z,EXPENSE,8.87,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2025-11-28-wardrobe,2025-11-28T00:00:00.000Z,EXPENSE,3.0,Wardrobe,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherout,,,
tx-2025-11-29-dinner,2025-11-29T00:00:00.000Z,EXPENSE,15.7,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-11-29-supercell,2025-11-29T00:00:00.000Z,EXPENSE,15.98,Supercell,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-leisure-tech,,,
tx-2025-11-30-uber,2025-11-30T00:00:00.000Z,EXPENSE,2.31,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2025-12-01-bread,2025-12-01T00:00:00.000Z,EXPENSE,1.5,Bread,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-01-snack,2025-12-01T00:00:00.000Z,EXPENSE,0.45,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-02-apple,2025-12-02T00:00:00.000Z,EXPENSE,2.99,Apple,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-leisure-tech,,,
tx-2025-12-02-consum,2025-12-02T00:00:00.000Z,EXPENSE,11.39,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-02-mercadona,2025-12-02T00:00:00.000Z,EXPENSE,10.8,Mercadona,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-05-dinner,2025-12-05T00:00:00.000Z,EXPENSE,20.71,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-05-gift,2025-12-05T00:00:00.000Z,EXPENSE,15.0,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-05-lunch,2025-12-05T00:00:00.000Z,EXPENSE,12.3,Lunch,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-05-parking,2025-12-05T00:00:00.000Z,EXPENSE,1.39,Parking,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-carexpenses,,,
tx-2025-12-05-snack,2025-12-05T00:00:00.000Z,EXPENSE,2.0,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-06-breakfast,2025-12-06T00:00:00.000Z,EXPENSE,5.2,Breakfast,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-06-dinner,2025-12-06T00:00:00.000Z,EXPENSE,39.55,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-06-drink,2025-12-06T00:00:00.000Z,EXPENSE,3.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-06-gift,2025-12-06T00:00:00.000Z,EXPENSE,5.65,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-06-lunch,2025-12-06T00:00:00.000Z,EXPENSE,8.73,Lunch,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-06-parking,2025-12-06T00:00:00.000Z,EXPENSE,9.0,Parking,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-carexpenses,,,
tx-2025-12-06-snack,2025-12-06T00:00:00.000Z,EXPENSE,1.85,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-07-bar,2025-12-07T00:00:00.000Z,EXPENSE,2.6,Bar,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-07-bus,2025-12-07T00:00:00.000Z,EXPENSE,6.0,Bus,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-generaltransport,,,
tx-2025-12-07-drink,2025-12-07T00:00:00.000Z,EXPENSE,2.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-09-dinner,2025-12-09T00:00:00.000Z,EXPENSE,36.79,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-09-gift,2025-12-09T00:00:00.000Z,EXPENSE,20.0,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-10-atm,2025-12-10T00:00:00.000Z,EXPENSE,2.2,ATM,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-milan,,,
tx-2025-12-10-bus,2025-12-10T00:00:00.000Z,EXPENSE,10.0,Bus,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-generaltransport,,,
tx-2025-12-11-breakfast,2025-12-11T00:00:00.000Z,EXPENSE,4.3,Breakfast,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-11-consum,2025-12-11T00:00:00.000Z,EXPENSE,13.35,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-13-dinner,2025-12-13T00:00:00.000Z,EXPENSE,4.5,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-14-attraction,2025-12-14T00:00:00.000Z,EXPENSE,9.64,Attraction,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holyday,,,
tx-2025-12-15-snack,2025-12-15T00:00:00.000Z,EXPENSE,0.45,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-16-gift,2025-12-16T00:00:00.000Z,EXPENSE,5.0,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-17-dinner,2025-12-17T00:00:00.000Z,EXPENSE,12.86,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-17-snack,2025-12-17T00:00:00.000Z,EXPENSE,0.45,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-18-consum,2025-12-18T00:00:00.000Z,EXPENSE,11.67,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-18-drink,2025-12-18T00:00:00.000Z,EXPENSE,7.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-18-lunch,2025-12-18T00:00:00.000Z,EXPENSE,3.3,Lunch,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-18-rent,2025-12-18T00:00:00.000Z,EXPENSE,480.0,Rent,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-housing-rent,,,
tx-2025-12-18-snack,2025-12-18T00:00:00.000Z,EXPENSE,0.75,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-18-snack-2,2025-12-18T00:00:00.000Z,EXPENSE,2.5,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-18-uber,2025-12-18T00:00:00.000Z,EXPENSE,1.75,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2025-12-19-dinner,2025-12-19T00:00:00.000Z,EXPENSE,11.6,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-19-gift,2025-12-19T00:00:00.000Z,EXPENSE,10.0,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-19-giftlavi,2025-12-19T00:00:00.000Z,EXPENSE,25.0,GiftLavi,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-lavinia,,,
tx-2025-12-19-snack,2025-12-19T00:00:00.000Z,EXPENSE,0.99,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2025-12-20-bar,2025-12-20T00:00:00.000Z,EXPENSE,8.75,Bar,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-20-dinner,2025-12-20T00:00:00.000Z,EXPENSE,11.45,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-21-drink,2025-12-21T00:00:00.000Z,EXPENSE,6.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-21-uber,2025-12-21T00:00:00.000Z,EXPENSE,2.5,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2025-12-22-aldi,2025-12-22T00:00:00.000Z,EXPENSE,3.27,Aldi,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-22-aperitivo,2025-12-22T00:00:00.000Z,EXPENSE,15.3,Aperitivo,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2025-12-22-consum,2025-12-22T00:00:00.000Z,EXPENSE,12.31,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-22-mercadona,2025-12-22T00:00:00.000Z,EXPENSE,0.9,Mercadona,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2025-12-23-gift,2025-12-23T00:00:00.000Z,EXPENSE,4.15,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-24-chatgpt,2025-12-24T00:00:00.000Z,EXPENSE,7.66,ChatGPT,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-housing-phone,,,
tx-2025-12-24-gift,2025-12-24T00:00:00.000Z,EXPENSE,14.99,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-27-autostrada,2025-12-27T00:00:00.000Z,EXPENSE,0.8,Autostrada,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-carexpenses,,,
tx-2025-12-27-dinner,2025-12-27T00:00:00.000Z,EXPENSE,80.0,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-28-gift,2025-12-28T00:00:00.000Z,EXPENSE,9.2,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-29-gift,2025-12-29T00:00:00.000Z,EXPENSE,31.5,Gift,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-gifts-others,,,
tx-2025-12-30-dinner,2025-12-30T00:00:00.000Z,EXPENSE,68.7,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-30-esselunga,2025-12-30T00:00:00.000Z,EXPENSE,6.63,Esselunga,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-esselunga,,,
tx-2025-12-31-dinner,2025-12-31T00:00:00.000Z,EXPENSE,31.7,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2025-12-31-lidl,2025-12-31T00:00:00.000Z,EXPENSE,7.61,Lidl,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-lidl,,,
tx-2026-01-01-autostrada,2026-01-01T00:00:00.000Z,EXPENSE,3.4,Autostrada,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-carexpenses,,,
tx-2026-01-01-petrol,2026-01-01T00:00:00.000Z,EXPENSE,19.99,Petrol,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-carexpenses,,,
tx-2026-01-02-apple,2026-01-02T00:00:00.000Z,EXPENSE,2.99,Apple,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-leisure-tech,,,
tx-2026-01-03-uci,2026-01-03T00:00:00.000Z,EXPENSE,17.0,UCI,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-cinema,,,
tx-2026-01-07-aldi,2026-01-07T00:00:00.000Z,EXPENSE,5.94,ALDI,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2026-01-07-ryanair,2026-01-07T00:00:00.000Z,EXPENSE,42.34,Ryanair,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-airplane,,,
tx-2026-01-08-consum,2026-01-08T00:00:00.000Z,EXPENSE,14.38,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2026-01-08-dinner,2026-01-08T00:00:00.000Z,EXPENSE,14.7,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-08-snack,2026-01-08T00:00:00.000Z,EXPENSE,0.75,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2026-01-09-aperitivo,2026-01-09T00:00:00.000Z,EXPENSE,9.5,Aperitivo,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2026-01-09-dinner,2026-01-09T00:00:00.000Z,EXPENSE,72.25,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-09-museum,2026-01-09T00:00:00.000Z,EXPENSE,16.0,Museum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holiday,,,
tx-2026-01-09-vintaker-mercado,2026-01-09T00:00:00.000Z,EXPENSE,200.0,Vintaker Mercado,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-clothing-superflous,,,
tx-2026-01-10-dinner,2026-01-10T00:00:00.000Z,EXPENSE,21.2,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-10-lunch,2026-01-10T00:00:00.000Z,EXPENSE,5.35,Lunch,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-10-museum,2026-01-10T00:00:00.000Z,EXPENSE,9.0,Museum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-travel-holiday,,,
tx-2026-01-10-uber,2026-01-10T00:00:00.000Z,EXPENSE,3.3,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2026-01-11-committee,2026-01-11T00:00:00.000Z,EXPENSE,29.0,Committee,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otheractivity,,,
tx-2026-01-11-eroski,2026-01-11T00:00:00.000Z,EXPENSE,2.89,Eroski,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2026-01-11-lunch,2026-01-11T00:00:00.000Z,EXPENSE,43.0,Lunch,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-11-uber,2026-01-11T00:00:00.000Z,EXPENSE,3.3,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2026-01-11-uber-2,2026-01-11T00:00:00.000Z,EXPENSE,3.3,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2026-01-11-uber-3,2026-01-11T00:00:00.000Z,EXPENSE,2.3,Uber,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-local,,,
tx-2026-01-12-consum,2026-01-12T00:00:00.000Z,EXPENSE,12.67,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2026-01-12-stamp-duty,2026-01-12T00:00:00.000Z,EXPENSE,1.0,Stamp Duty,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-fees-banks,,,
tx-2026-01-12-stamp-duty-2,2026-01-12T00:00:00.000Z,EXPENSE,8.62,Stamp Duty,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-fees-banks,,,
tx-2026-01-13-chatgpt,2026-01-13T00:00:00.000Z,EXPENSE,7.66,ChatGPT,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-leisure-tech,,,
tx-2026-01-13-dinner,2026-01-13T00:00:00.000Z,EXPENSE,35.5,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-13-mercadona,2026-01-13T00:00:00.000Z,EXPENSE,5.1,Mercadona,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2026-01-13-snack,2026-01-13T00:00:00.000Z,EXPENSE,3.58,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2026-01-14-snack,2026-01-14T00:00:00.000Z,EXPENSE,0.45,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2026-01-15-drink,2026-01-15T00:00:00.000Z,EXPENSE,6.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2026-01-15-rent,2026-01-15T00:00:00.000Z,EXPENSE,240.0,Rent,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-housing-rent,,,
tx-2026-01-16-dinner,2026-01-16T00:00:00.000Z,EXPENSE,43.1,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-16-drink,2026-01-16T00:00:00.000Z,EXPENSE,24.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2026-01-16-stock-trade-fee-tr,2026-01-16T00:00:00.000Z,EXPENSE,1.0,Stock Trade Fee TR,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-fees-brokers,,,
tx-2026-01-17-consum,2026-01-17T00:00:00.000Z,EXPENSE,10.18,Consum,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-groceries-othergroceries,,,
tx-2026-01-17-lefties,2026-01-17T00:00:00.000Z,EXPENSE,20.98,Lefties,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-clothing-onsale,,,
tx-2026-01-18-dinner,2026-01-18T00:00:00.000Z,EXPENSE,23.4,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-19-drink,2026-01-19T00:00:00.000Z,EXPENSE,3.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
tx-2026-01-19-emt,2026-01-19T00:00:00.000Z,EXPENSE,5.4,EMT,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-transport-generaltransport,,,
tx-2026-01-19-snack,2026-01-19T00:00:00.000Z,EXPENSE,3.3,Snack,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otherfood,,,
tx-2026-01-19-ticketone,2026-01-19T00:00:00.000Z,EXPENSE,31.82,TicketOne,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-otheractivity,,,
tx-2026-01-20-dinner,2026-01-20T00:00:00.000Z,EXPENSE,3.5,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-21-dinner,2026-01-21T00:00:00.000Z,EXPENSE,24.4,Dinner,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-22-dinner,2026-01-22T00:00:00.000Z,EXPENSE,20.51,Dinner,USDEUR,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-restaurants,,,
tx-2026-01-22-drink,2026-01-22T00:00:00.000Z,EXPENSE,2.0,Drink,,REPLACE_WITH_ACCOUNT_IMPORT_KEY,OUTFLOW,expense-out-bar,,,
